Chain,Chain ID,Morpho Protocol ID,Identifier,Supply or borrow,Position,Position ID
ethereum,1,1,0x08bd0186c5d6ee272f973a307815ac9a8f5ed42bc8308d4b109f254011776c34,3,1.1.3.0x08bd0186c5d6ee272f973a307815ac9a8f5ed42bc8308d4b109f254011776c34,55818345932872006275253883472036723839548967097309463687121829726273715865089
ethereum,1,1,0x08cfaaa2e7797b4e1326d1d174dd364c9fb3a2a718623a3b7f97ea1debba47b8,2,1.1.2.0x08cfaaa2e7797b4e1326d1d174dd364c9fb3a2a718623a3b7f97ea1debba47b8,25460996432585598158715944532518604142193375088762773318413187789609003141833
ethereum,1,1,0x08cfaaa2e7797b4e1326d1d174dd364c9fb3a2a718623a3b7f97ea1debba47b8,3,1.1.3.0x08cfaaa2e7797b4e1326d1d174dd364c9fb3a2a718623a3b7f97ea1debba47b8,97479627012726023078253946070567626713803224538334527738149100024226962622108
ethereum,1,1,0x091756a1ba71f388fd5a959150c255acc55ce1e3714010a069ecb96f51b74235,2,1.1.2.0x091756a1ba71f388fd5a959150c255acc55ce1e3714010a069ecb96f51b74235,81425612736598975171772909583021714775865239120146529012200073586648952494751
ethereum,1,1,0x091756a1ba71f388fd5a959150c255acc55ce1e3714010a069ecb96f51b74235,3,1.1.3.0x091756a1ba71f388fd5a959150c255acc55ce1e3714010a069ecb96f51b74235,42496476737838131319064029518925247411475022678643177391028144372512560458137
ethereum,1,1,0x093d5b432aace8bf6c4d67494f4ac2542a499571ff7a1bcc9f8778f3200d457d,2,1.1.2.0x093d5b432aace8bf6c4d67494f4ac2542a499571ff7a1bcc9f8778f3200d457d,2418888550710747120335430895076499581990042770716125183713292222672016158039
ethereum,1,1,0x093d5b432aace8bf6c4d67494f4ac2542a499571ff7a1bcc9f8778f3200d457d,3,1.1.3.0x093d5b432aace8bf6c4d67494f4ac2542a499571ff7a1bcc9f8778f3200d457d,45045493639980957015210607769371533313133261631668861197059238681125741201946
ethereum,1,1,0x0976b2b8e796994ef3e2fcc6c2f808c420917d531bb9cfaa4537773ca6860e1c,2,1.1.2.0x0976b2b8e796994ef3e2fcc6c2f808c420917d531bb9cfaa4537773ca6860e1c,5225841809645749945897741919084960740160643988829045105371714035766068477143
ethereum,1,1,0x0976b2b8e796994ef3e2fcc6c2f808c420917d531bb9cfaa4537773ca6860e1c,3,1.1.3.0x0976b2b8e796994ef3e2fcc6c2f808c420917d531bb9cfaa4537773ca6860e1c,110153083214271728089537282231285086976220429578358317421330095023646369089890
ethereum,1,1,0x09786b3d012184d0f23b841db681097b585928278018b5d624ea7f57d48efe36,2,1.1.2.0x09786b3d012184d0f23b841db681097b585928278018b5d624ea7f57d48efe36,55903019734769428555964764595506238439552120137743628017962407564413491097795
ethereum,1,1,0x09786b3d012184d0f23b841db681097b585928278018b5d624ea7f57d48efe36,3,1.1.3.0x09786b3d012184d0f23b841db681097b585928278018b5d624ea7f57d48efe36,16943624650985114062146352982450836617763259123088100999779023899153659633563
ethereum,1,1,0x09cf702bb8b6fe8c6effb6021744e365f598b89bc28f3ea7cd6c55115af825df,2,1.1.2.0x09cf702bb8b6fe8c6effb6021744e365f598b89bc28f3ea7cd6c55115af825df,71375973031263018816848049200916780992614030644554499913998358894508466156458
ethereum,1,1,0x09cf702bb8b6fe8c6effb6021744e365f598b89bc28f3ea7cd6c55115af825df,3,1.1.3.0x09cf702bb8b6fe8c6effb6021744e365f598b89bc28f3ea7cd6c55115af825df,42009254050844132274215519135361074836077052670844623433705282007825816180785
ethereum,1,1,0x0a73995d050136746336dce4675647e9b388df28049d7785b236ed1490436341,2,1.1.2.0x0a73995d050136746336dce4675647e9b388df28049d7785b236ed1490436341,56117215089871215698502438387363475213101091244737889672485012769823279869415
ethereum,1,1,0x0a73995d050136746336dce4675647e9b388df28049d7785b236ed1490436341,3,1.1.3.0x0a73995d050136746336dce4675647e9b388df28049d7785b236ed1490436341,90838278598727680979078320034490020289516199498724530895875532486237470772977
ethereum,1,1,0x0a834fe24f42cf9cbf0644926c5637a9da42dbfae8c4c4ca0c2f2d9c712896d3,2,1.1.2.0x0a834fe24f42cf9cbf0644926c5637a9da42dbfae8c4c4ca0c2f2d9c712896d3,15149333849846573570513132715145311480435386527223330744865965514276117732305
ethereum,1,1,0x0a834fe24f42cf9cbf0644926c5637a9da42dbfae8c4c4ca0c2f2d9c712896d3,3,1.1.3.0x0a834fe24f42cf9cbf0644926c5637a9da42dbfae8c4c4ca0c2f2d9c712896d3,100660288325404640255774448772915464516553476628561748492970959636339811853042
